,STORE NAME,STORE NUMBER,DATE,AMOUNTS PAID,PAYMENT METHOD,PURCHASE TYPE,STATE
3,DOLLAR General,15064,12/21/2022,$1.06 ,CASH,KITCHEN SUPPLY,KENTUCKY
6,DOLLAR General,15064,10/30/2022,$30.35 ,CASH,KITCHEN SUPPLY,KENTUCKY
7,DOLLAR General,15064,10/26/2022,$5.30 ,CASH,MEDICINE,KENTUCKY
8,DOLLAR General,15064,9/27/2022,$1.85 ,CASH,FOOD,KENTUCKY
9,DOLLAR General,15064,10/22/2022,$24.18 ,CASH,KIDS SUPPLY,KENTUCKY
10,DOLLAR General,15064,10/21/2022,$2.12 ,CASH,HOUSE SUPPLY,KENTUCKY
15,DOLLAR General,2840,2/2/2023,$0.25 ,CASH,FOOD,KENTUCKY
16,DOLLAR General,15064,1/11/2023,$46.99 ,CASH,FOOD,KENTUCKY
17,DOLLAR General,15064,2/2/2023,$6.00 ,CASH,HOUSE SUPPLY,KENTUCKY
19,DOLLAR General,15064,10/16/2022,$8.22 ,CASH,MOM SUPPLY,KENTUCKY
21,DOLLAR General,15064,10/30/2022,$14.47 ,CASH,HOUSE SUPPLY,KENTUCKY
24,DOLLAR General,15064,10/2/2022,$1.10 ,CASH,HOUSE SUPPLY,KENTUCKY
26,DOLLAR General,15064,1/11/2023,$7.25 ,CASH,FOOD,KENTUCKY
27,DOLLAR TREE,5648,11/16/2022,$13.25 ,CASH,KITCHEN SUPPLY,KENTUCKY
28,DOLLAR TREE,5648,10/21/2022,$15.87 ,CASH,GIFT KATLIN,KENTUCKY
29,DOLLAR TREE,5648,11/19/2022,$14.14 ,CASH,HOUSE SUPPLY,KENTUCKY
31,DOUBLE KWIK,2076,8/29/2022,$10.00 ,CASH,gaS,KENTUCKY
35,GOOD WILL,63294,10/21/2022,$13.16 ,CASH,APPERAL,KENTUCKY
36,GULF FRANKLIN,205538,1/19/2023,$5.43 ,CASH,CIGARETTES,LOUISIANA
37,HIBBETTS,1118,11/25/2022,$31.80 ,CASH,APPERAL,KENTUCKY
38,HIBBETTS,1118,11/25/2022,$135.62 ,CASH,APPERAL,KENTUCKY
39,LOWES,1797,1/13/2023,$15.24 ,CASH,HOUSE SUPPLY,KENTUCKY
40,LOWES,1797,11/2/2022,$12.08 ,CASH,HOUSE SUPPLY,KENTUCKY
41,LOWES,1797,11/23/2022,$17.14 ,CASH,HOUSE SUPPLY,KENTUCKY
42,MARTIN TABACCO,16,8/13/2022,$5.34 ,CASH,CIGARETTES,KENTUCKY
43,MC DONALDS,5011,8/12/2022,$15.23 ,CASH,FOOD,KENTUCKY
44,MONEY GRAM,1233,11/7/2022,$54.00 ,CASH,WIRE TO RAY,KENTUCKY
45,MONEY GRAM,1233,10/12/2022,$45.00 ,CASH,WIRE TO RAY,KENTUCKY
48,SIMONEADS,139,1/17/2023,$29.09 ,CASH,LIQUOR,LOUISIANA
49,SPEEDWAY,9538,1/13/2023,$85.00 ,CASH,GAS,KENTUCKY
50,THE MOBILE,205520,1/17/2023,$62.02 ,CASH,GAS,LOUISIANA
51,VIP FUEL,131987,1/19/2022,$21.29 ,CASH,CIGARETTES,KENTUCKY
52,VIP FUEL,131987,1/12/2023,$20.00 ,CASH,GAS,KENTUCKY
53,VIP FUEL,131987,1/12/2023,$4.23 ,CASH,CIGARETTES,KENTUCKY
54,VIP FUEL,2,1/21/2023,$10.00 ,CASH,gaS,KENTUCKY
55,VIP FUEL,2,1/21/2023,$4.23 ,CASH,CIGARETTES,KENTUCKY
56,WALMART,1233,11/9/2022,$17.96 ,CASH,FOOD,KENTUCKY
58,WALMART,1233,10/21/2022,$24.35 ,CASH,SIR TOYS,KENTUCKY
60,WALMART,1233,10/21/2022,$96.96 ,CASH,APPERAL,KENTUCKY
61,WALMART,1233,10/17/2022,$33.47 ,CASH,APPERAL,KENTUCKY
64,WALMART,1233,10/24/2022,$20.00 ,CASH,APPERAL,KENTUCKY
66,WALMART,1233,10/16/2022,$47.42 ,CASH,KITCHEN SUPPLY,KENTUCKY
70,WALMART,1233,10/26/2022,$13.79 ,CASH,HOUSE SUPPLY,KENTUCKY
72,WALMART,1233,11/18/2022,$11.05 ,CASH,HOUSE SUPPLY,KENTUCKY
73,WALMART,696,9/12/2022,$44.00 ,CASH,WIRE TO RAY,KENTUCKY
74,WALMART,1233,11/25/2022,$120.56 ,CASH,HOUSE SUPPLY,KENTUCKY
76,WALMART,1233,11/19/2022,$12.48 ,CASH,APPERAL,KENTUCKY
77,WALMART,1233,10/12/2022,$49.00 ,CASH,WIRE TO RAY,KENTUCKY
78,WALMART,3894,9/12/2022,$10.21 ,CASH,FOOD,KENTUCKY
79,WALMART,1233,11/19/2022,$49.35 ,CASH,HOUSE SUPPLY,KENTUCKY
80,WENDY'S,11341,1/12/2023,$32.75 ,CASH,FOOD,KENTUCKY
