,STORE NAME,STORE NUMBER,DATE,AMOUNTS PAID,PAYMENT METHOD,PURCHASE TYPE,STATE
0,BIG LOTS,316,10/8/2022,$14.76 ,EBT,FOOD,KENTUCKY
1,DOLLAR General,15064,12/26/2022,$6.00 ,EBT,FOOD,KENTUCKY
2,DOLLAR General,15064,1/23/2023,$52.30 ,EBT,FOOD,KENTUCKY
4,DOLLAR General,15064,12/4/2022,$4.25 ,EBT,FOOD,KENTUCKY
5,DOLLAR General,15064,12/29/2022,$17.95 ,EBT,FOOD,KENTUCKY
11,DOLLAR General,15064,1/19/2023,$11.45 ,EBT,FOOD,KENTUCKY
12,DOLLAR General,15064,2/17/2023,$67.75 ,EBT,FOOD,KENTUCKY
13,DOLLAR General,15064,1/19/2023,$3.00 ,EBT,FOOD,KENTUCKY
14,DOLLAR General,2840,2/2/2023,$1.82 ,EBT,FOOD,KENTUCKY
18,DOLLAR General,15064,1/10/2022,$10.10 ,EBT,FOOD,KENTUCKY
20,DOLLAR General,15064,10/30/2022,$3.70 ,EBT,FOOD,KENTUCKY
22,DOLLAR General,15064,10/30/2022,$7.05 ,EBT,FOOD,KENTUCKY
23,DOLLAR General,15064,10/2/2022,$4.35 ,EBT,FOOD,KENTUCKY
25,DOLLAR General,15064,1/21/2023,$128.70 ,EBT,FOOD,KENTUCKY
30,DOLLAR TREE,5648,11/19/2022,$5.00 ,EBT,FOOD,KENTUCKY
32,FAMILY DOLLAR,3264,11/29/2022,$8.75 ,EBT,FOOD,KENTUCKY
33,FOOD CITY,424,12/2/2022,$51.29 ,EBT,FOOD,KENTUCKY
34,FOOD CITY,424,2/17/2023,$65.97 ,EBT,FOOD,KENTUCKY
46,SAVE ALOT,23488,11/29/2022,$23.10 ,EBT,FOOD,KENTUCKY
47,SAVE ALOT,23488,2/2/2023,$45.30 ,EBT,FOOD,KENTUCKY
57,WALMART,1233,10/19/2022,$23.20 ,EBT,FOOD,KENTUCKY
59,WALMART,1233,1/5/2023,$30.35 ,EBT,FOOD,KENTUCKY
62,WALMART,1233,10/12/2022,$35.54 ,EBT,FOOD,KENTUCKY
63,WALMART,1233,10/24/2022,$25.38 ,EBT,FOOD,KENTUCKY
65,WALMART,1233,10/16/2022,$365.54 ,EBT,FOOD,KENTUCKY
67,WALMART,1233,2/17/2023,$157.48 ,EBT,FOOD,KENTUCKY
68,WALMART,1233,2/17/2023,$3.48 ,EBT,FOOD,KENTUCKY
69,WALMART,1233,10/26/2022,$67.94 ,EBT,FOOD,KENTUCKY
71,WALMART,1233,11/18/2022,$76.96 ,EBT,FOOD,KENTUCKY
75,WALMART,1233,11/19/2022,$9.25 ,EBT,FOOD,KENTUCKY
